loop1,loop2,loop3,time
120.0,120.0,120.0,216.0
120.0,120.0,120.0,217.0
120.0,120.0,120.0,218.0
120.0,120.0,180.0,219.0
120.0,120.0,60.0,220.0
120.0,120.0,300.0,221.0
120.0,120.0,180.0,222.0
120.0,120.0,120.0,223.0
120.0,180.0,60.0,224.0
120.0,180.0,120.0,225.0
120.0,60.0,180.0,226.0
120.0,180.0,60.0,227.0
120.0,120.0,180.0,228.0
120.0,120.0,120.0,229.0
120.0,120.0,120.0,230.0
120.0,120.0,120.0,231.0
120.0,120.0,120.0,232.0
120.0,120.0,240.0,233.0
120.0,120.0,120.0,234.0
120.0,120.0,120.0,235.0
240.0,120.0,120.0,236.0
120.0,120.0,120.0,237.0
120.0,120.0,120.0,238.0
120.0,120.0,120.0,239.0
120.0,120.0,180.0,240.0
120.0,120.0,60.0,241.0
120.0,120.0,120.0,242.0
120.0,120.0,120.0,243.0
120.0,120.0,180.0,244.0
120.0,120.0,120.0,245.0
120.0,120.0,180.0,246.0
120.0,180.0,120.0,247.0
120.0,120.0,60.0,248.0
120.0,180.0,120.0,249.0
120.0,60.0,180.0,250.0
120.0,180.0,60.0,251.0
120.0,120.0,120.0,252.0
120.0,120.0,180.0,253.0
120.0,120.0,120.0,254.0
120.0,120.0,120.0,255.0
120.0,120.0,120.0,256.0
120.0,120.0,120.0,257.0
120.0,120.0,120.0,258.0
240.0,120.0,120.0,259.0
120.0,120.0,120.0,260.0
120.0,120.0,120.0,261.0
120.0,120.0,120.0,262.0
120.0,120.0,120.0,263.0
120.0,120.0,120.0,264.0
120.0,120.0,120.0,265.0
120.0,120.0,180.0,266.0
120.0,120.0,120.0,267.0
120.0,120.0,180.0,268.0
120.0,120.0,60.0,269.0
120.0,120.0,180.0,270.0
120.0,240.0,120.0,271.0
120.0,120.0,120.0,272.0
120.0,120.0,120.0,273.0
120.0,120.0,120.0,274.0
120.0,120.0,120.0,275.0
120.0,120.0,120.0,276.0
120.0,120.0,120.0,277.0
120.0,120.0,120.0,278.0
120.0,120.0,120.0,279.0
120.0,120.0,120.0,280.0
120.0,120.0,120.0,281.0
120.0,120.0,120.0,282.0
240.0,120.0,120.0,283.0
120.0,120.0,120.0,284.0
120.0,120.0,120.0,285.0
120.0,120.0,120.0,286.0
120.0,120.0,120.0,287.0
120.0,120.0,180.0,288.0
120.0,120.0,120.0,289.0
120.0,120.0,60.0,290.0
120.0,120.0,120.0,291.0
120.0,120.0,240.0,292.0
120.0,120.0,60.0,293.0
120.0,120.0,120.0,294.0
120.0,180.0,180.0,295.0
120.0,180.0,60.0,296.0
120.0,120.0,180.0,297.0
120.0,120.0,120.0,298.0
120.0,120.0,120.0,299.0
120.0,120.0,120.0,300.0
120.0,120.0,120.0,301.0
120.0,120.0,120.0,302.0
120.0,120.0,120.0,303.0
120.0,120.0,120.0,304.0
120.0,120.0,120.0,305.0
240.0,120.0,120.0,306.0
120.0,120.0,120.0,307.0
120.0,120.0,120.0,308.0
120.0,120.0,120.0,309.0
120.0,120.0,180.0,310.0
120.0,120.0,60.0,311.0
120.0,120.0,120.0,312.0
120.0,120.0,120.0,313.0
120.0,120.0,180.0,314.0
120.0,120.0,120.0,315.0
120.0,120.0,120.0,316.0
120.0,120.0,120.0,317.0
120.0,180.0,120.0,318.0
120.0,180.0,120.0,319.0
120.0,60.0,180.0,320.0
120.0,180.0,60.0,321.0
120.0,120.0,180.0,322.0
120.0,120.0,120.0,323.0
120.0,120.0,120.0,324.0
120.0,120.0,120.0,325.0
120.0,120.0,120.0,326.0
120.0,120.0,120.0,327.0
120.0,120.0,120.0,328.0
120.0,120.0,120.0,329.0
240.0,120.0,120.0,330.0
120.0,120.0,240.0,331.0
120.0,120.0,120.0,332.0
120.0,120.0,120.0,333.0
120.0,120.0,120.0,334.0
120.0,120.0,120.0,335.0
120.0,120.0,120.0,336.0
120.0,120.0,120.0,337.0
120.0,120.0,180.0,338.0
120.0,120.0,120.0,339.0
120.0,120.0,120.0,340.0
120.0,180.0,180.0,341.0
120.0,180.0,60.0,342.0
120.0,120.0,180.0,343.0
120.0,120.0,120.0,344.0
120.0,120.0,120.0,345.0
120.0,120.0,120.0,346.0
120.0,120.0,120.0,347.0
120.0,120.0,120.0,348.0
120.0,120.0,120.0,349.0
120.0,120.0,120.0,350.0
120.0,120.0,120.0,351.0
120.0,120.0,120.0,352.0
240.0,120.0,120.0,353.0
120.0,120.0,120.0,354.0
120.0,120.0,120.0,355.0
180.0,120.0,120.0,356.0
120.0,180.0,120.0,357.0
180.0,120.0,300.0,358.0
180.0,180.0,0.0,359.0
180.0,180.0,180.0,360.0
180.0,180.0,240.0,361.0
180.0,180.0,300.0,362.0
180.0,240.0,120.0,363.0
180.0,180.0,240.0,364.0
180.0,240.0,120.0,365.0
240.0,240.0,240.0,366.0
240.0,300.0,240.0,367.0
240.0,240.0,240.0,368.0
240.0,240.0,240.0,369.0
300.0,240.0,240.0,370.0
240.0,240.0,240.0,371.0
240.0,240.0,240.0,372.0
300.0,240.0,240.0,373.0
240.0,240.0,240.0,374.0
240.0,240.0,240.0,375.0
360.0,240.0,240.0,376.0
240.0,240.0,240.0,377.0
240.0,240.0,240.0,378.0
240.0,240.0,300.0,379.0
240.0,300.0,240.0,380.0
240.0,240.0,300.0,381.0
